Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu cannot be resolved	GGiD/article_app	PaperUI.java	line 4	1185321654619	937
The import edu cannot be resolved	GGiD/article_app	PaperUI.java	line 5	1185321654619	938
The import edu cannot be resolved	GGiD/article_app	PaperUI.java	line 6	1185321654619	939
The import edu cannot be resolved	GGiD/article_app	PaperUI.java	line 7	1185321654619	940
The import edu cannot be resolved	GGiD/article_app	PaperUI.java	line 8	1185321654619	941
The import edu cannot be resolved	GGiD/article_app	PaperUI.java	line 9	1185321654619	942
The import edu cannot be resolved	GGiD/article_app	PaperUI.java	line 10	1185321654619	943
Sheet cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 25	1185321654619	944
TiledPatternGenerator cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 25	1185321654619	945
Sheet cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 26	1185321654619	946
The method createMap() is undefined for the type PaperUI	GGiD/article_app	PaperUI.java	line 26	1185321654619	947
SheetRenderer cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 27	1185321654619	948
SheetRenderer cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 27	1185321654619	949
Sheet cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 31	1185321654619	950
Sheet cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 33	1185321654619	951
Sheet cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 33	1185321654619	952
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 35	1185321654619	955
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 35	1185321654619	956
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 35	1185321654619	953
TextRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 35	1185321654619	954
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 40	1185321654619	959
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 40	1185321654619	960
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 40	1185321654619	957
TextRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 40	1185321654619	958
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 43	1185321654619	963
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 43	1185321654619	964
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 43	1185321654619	965
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 43	1185321654619	966
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 43	1185321654619	961
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 43	1185321654619	962
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 47	1185321654619	969
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 47	1185321654619	970
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 47	1185321654619	967
TextRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 47	1185321654619	968
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 50	1185321654619	973
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 50	1185321654619	974
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 50	1185321654619	975
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 50	1185321654619	976
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 50	1185321654619	971
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 50	1185321654619	972
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 54	1185321654619	979
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 54	1185321654619	980
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 54	1185321654619	977
TextRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 54	1185321654619	978
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 57	1185321654619	983
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 57	1185321654619	984
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 57	1185321654619	985
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 57	1185321654619	986
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 57	1185321654619	981
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 57	1185321654619	982
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 61	1185321654619	989
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 61	1185321654619	990
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 61	1185321654619	987
TextRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 61	1185321654619	988
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 74	1185321654619	993
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 74	1185321654619	994
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 74	1185321654619	995
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 74	1185321654619	996
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 74	1185321654619	991
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 74	1185321654619	992
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 78	1185321654619	999
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 78	1185321654619	1000
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 78	1185321654619	997
TextRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 78	1185321654619	998
ImageRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 83	1185321654619	1002
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 83	1185321654619	1003
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 83	1185321654619	1004
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 83	1185321654619	1001
ImageRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 89	1185321654619	1006
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 89	1185321654619	1007
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 89	1185321654619	1008
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 89	1185321654619	1005
ImageRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 94	1185321654619	1010
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 94	1185321654619	1011
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 94	1185321654619	1012
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 94	1185321654619	1009
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 99	1185321654619	1015
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 99	1185321654619	1016
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 99	1185321654619	1013
TextRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 99	1185321654619	1014
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 102	1185321654619	1019
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 102	1185321654619	1020
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 102	1185321654619	1021
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 102	1185321654619	1022
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 102	1185321654619	1017
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 102	1185321654619	1018
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 106	1185321654619	1025
Inches cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 106	1185321654619	1026
Region cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 106	1185321654619	1023
TextRegion cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 106	1185321654619	1024
Sheet cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 112	1185321654619	1027
TiledPatternGenerator cannot be resolved to a type	GGiD/article_app	PaperUI.java	line 112	1185321654619	1028
